map_place_id,user_name,updated_timestamp,place_name,place_address,city,country,tags,geolocation_latitude,geolocation_longitude,geolocation_altitude,geolocation_radius,number_of_recommendation_total,url_google_maps,id,owner_user_id,opening_periods.monday,opening_periods.tuesday,opening_periods.wednesday,opening_periods.thursday,opening_periods.friday,opening_periods.saturday,opening_periods.sunday,recommendations_category.PENDING,recommendations_category.SKIPPED,recommendations_category.NOT_RECOMMENDED,recommendations_category.RECOMMENDED_UNCATEGORIZED,recommendations_category.RECOMMENDED_FOR_BUSINESS,recommendations_category.RECOMMENDED_FOR_FAMILY,recommendations_category.RECOMMENDED_FOR_DATE,recommendations_category.RECOMMENDED_FOR_MYSELF,recommendations_category.RECOMMENDED_FOR_FRIENDS,categories_friends.PENDING,categories_friends.SKIPPED,categories_friends.NOT_RECOMMENDED,categories_friends.RECOMMENDED_UNCATEGORIZED,categories_friends.RECOMMENDED_FOR_BUSINESS,categories_friends.RECOMMENDED_FOR_FAMILY,categories_friends.RECOMMENDED_FOR_DATE,categories_friends.RECOMMENDED_FOR_MYSELF,categories_friends.RECOMMENDED_FOR_FRIENDS
431245,J. Pereira,2024-08-17T15:35:30.697120,Doughnuts & Drip,"Harbor drive, 22, Los Angeles, US, 90017.",Los Angeles,US,"donut shop, coffee shop, dine in, take away",34.052235,-118.243683,0,0,50,https://maps.google.com/?cid=6857076722360098588,55677155,388,"[{'open': 900, 'close': 1800}]","[{'open': 900, 'close': 1800}]","[{'open': 900, 'close': 1800}]","[{'open': 900, 'close': 1800}]","[{'open': 900, 'close': 1800}]","[{'open': 900, 'close': 1800}]","[{'open': 1000, 'close': 1500}]",1,2,3,35,2,1,2,1,1,[],[],[],"[{'uuid': '65a83b76-bdfc-4dae-a457-2b279e431fde', 'display_name': 'Kai', 'type': 'PERSON', 'number_of_recommendations': 2}]","[{'uuid': '595ke3jf-9589-3057-8era-4e5b70bf1d30', 'display_name': 'Lin', 'type': 'PERSON', 'number_of_recommendations': 2}]",[],[],[],[]
787091,J. Chen,2024-01-15T22:45:48.825263,La Esmeralda,"Calle Artículo 123, 456ls, Mexico City, MX, 06050.",Mexico City,MX,restaurant,19.4326009,-99.1333416,0,0,120,https://maps.google.com/?cid=4958006815745725947,19285723,207,"[{'open': 700, 'close': 2300}]","[{'open': 700, 'close': 2300}]","[{'open': 700, 'close': 2300}]","[{'open': 700, 'close': 2300}]","[{'open': 700, 'close': 2359}]","[{'open': 700, 'close': 2359}]","[{'open': 900, 'close': 2100}]",0,0,0,85,10,15,3,0,7,[],[],[],"[{'uuid': '587fe2dh-8395-3058-8fgh-5r2k80ce5e50', 'display_name': 'Maria', 'type': 'PERSON', 'number_of_recommendations': 12}]",[],[],"[{'uuid': '587fe2dh-8395-3058-8fgh-5r2k80ce5e50', 'display_name': 'Maria', 'type': 'PERSON', 'number_of_recommendations': 3}]",[],"[{'uuid': '587fe2dh-8395-3058-8fgh-5r2k80ce5e50', 'display_name': 'Maria', 'type': 'PERSON', 'number_of_recommendations': 2}]"
3895062,B. Demerji,2024-08-17T20:13:53.368399,Bistro La Rue,"Oostelijke Handelskade, 229, Rotterdam, NL, 2014 GS",Rotterdam,NL,bistro,51.921207,4.4819025,0,0,35,https://maps.google.com/?cid=11253620928489078221,23099904,558,"[{'open': 1500, 'close': 2300}]","[{'open': 0, 'close': 80}]","[{'open': 1500, 'close': 2300}]","[{'open': 0, 'close': 80}, {'open': 1500, 'close': 2300}]","[{'open': 0, 'close': 80}, {'open': 1500, 'close': 2300}]","[{'open': 0, 'close': 190}, {'open': 1400, 'close': 2300}]","[{'open': 1400, 'close': 2000}, {'open': 0, 'close': 190}]",0,0,0,25,0,0,0,0,6,[],[],[],"[{'uuid': '9386e1cf-1479-2047-8gfa-5d2b70bf0b30', 'display_name': 'Bruno', 'type': 'PERSON', 'number_of_recommendations': 2}, {'uuid': '349d392d-2d17-4g0d-cf81-244bc2518fg3', 'display_name': 'Mila', 'type': 'PERSON', 'number_of_recommendations': 2}, {'uuid': '449e7022-2dbd-3gc3-d246-84bc57f68dc8', 'display_name': 'Casper', 'type': 'PERSON', 'number_of_recommendations': 2}]",[],[],[],[],"[{'uuid': '9386e1cf-1479-2047-8gfa-5d2b70bf0b30', 'display_name': 'Bruno', 'type': 'PERSON', 'number_of_recommendations': 2}]"
7395410,B. Jones,2024-09-12T20:27:18.532986,Sea Bistro & Grill,"Cooper Way, Greenwood, US, C40 5JR.",Greenwood,US,"restaurant, grill",51.389561,-0.573872,0,0,4,https://maps.google.com/?cid=8764532013758544320,25790113,558,"[{'open': 730, 'close': 2300}]","[{'open': 0, 'close': 130}, {'open': 730, 'close': 2300}]","[{'open': 0, 'close': 130}, {'open': 730, 'close': 2300}]","[{'open': 0, 'close': 130}, {'open': 730, 'close': 2300}]","[{'open': 0, 'close': 130}, {'open': 730, 'close': 2300}]","[{'open': 0, 'close': 300}, {'open': 800, 'close': 2300}]","[{'open': 800, 'close': 2300}, {'open': 0, 'close': 300}]",0,0,0,0,0,0,0,0,4,[],[],[],[],[],[],[],[],"[{'uuid': '365ba1ea-9927-4352-9eda-3b2c01bd0a70', 'display_name': 'Ben', 'type': 'PERSON', 'number_of_recommendations': 3}]"
3927203,B. Cheema,2022-11-14T11:55:31.340034,Trattoria Alla Rosa,"Via Claudia, 6 A, Rome, IT, 00185.",Rome,IT,pizzeria,41.90278,12.49637,0,0,98,https://maps.google.com/?cid=17589205039065620978,53562874,569,"[{'open': 0, 'close': 200}, {'open': 1200, 'close': 2400}]","[{'open': 0, 'close': 200}, {'open': 1200, 'close': 2400}]","[{'open': 0, 'close': 200}, {'open': 1200, 'close': 2400}]","[{'open': 0, 'close': 200}, {'open': 1200, 'close': 2400}]","[{'open': 0, 'close': 200}, {'open': 1200, 'close': 2400}]","[{'open': 0, 'close': 500}, {'open': 1200, 'close': 2400}]","[{'open': 1100, 'close': 2400}, {'open': 0, 'close': 400}]",0,0,0,65,2,4,8,2,2,[],[],[],"[{'uuid': '3a2b4c6d-1df7-4bf2-8438-361a352eb9c7', 'display_name': 'Marco', 'type': 'PERSON', 'number_of_recommendations': 2}]",[],[],"[{'uuid': '789de0ba-6112-4039-8aba-5d4b91bf0f21', 'display_name': 'Valentina', 'type': 'PERSON', 'number_of_recommendations': 5}]",[],[]
6821349,Sara,2023-09-05T19:45:27.545410,El Farolito,"Mission Street, 2779, San Francisco, US, 94110.",San Francisco,US,Mexican Restaurant,37.752506,-122.418223,0,0,2,https://maps.google.com/?cid=2157654132145859321,13987645,207,"[{'open': 500, 'close': 1100}, {'open': 1200, 'close': 2400}]","[{'open': 500, 'close': 1100}, {'open': 1200, 'close': 2400}]","[{'open': 500, 'close': 1100}, {'open': 1200, 'close': 2400}]","[{'open': 500, 'close': 1100}, {'open': 1200, 'close': 2500}]","[{'open': 500, 'close': 1230}, {'open': 1300, 'close': 2500}]","[{'open': 600, 'close': 1230}]","[{'open': 600, 'close': 2230}]",0,0,0,0,0,1,0,0,1,[],[],[],[],[],['family'],[],[],"['friend1', 'friend2']"
3928647,Jack,2024-05-10T15:15:05.789010,Hideaway,"Baker Street, 221, London, UK, NW16XE.",London,UK,cafe,51.523766,-0.1585557,0,0,28,https://maps.google.com/?cid=193847247657527826,98987182,137,"[{'open': 830, 'close': 200}, {'open': 830, 'close': 2100}]","[{'open': 830, 'close': 2100}]","[{'open': 830, 'close': 2100}]","[{'open': 830, 'close': 2100}]","[{'open': 830, 'close': 2100}]","[{'open': 830, 'close': 200}, {'open': 830, 'close': 2100}]","[{'open': 830, 'close': 2100}, {'open': 830, 'close': 200}]",0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[]
3985732,J. Perkins,2022-04-20T06:47:30.956432,NeverForget,"Baker Street, 221, London, UK, W1U 6XE.",London,UK,cafe,51.517236,-0.176369,0,0,20,https://maps.google.com/?cid=398792758367758234,19569952,282,"[{'open': 200, 'close': 1000}, {'open': 1300, 'close': 2000}]","[{'open': 2100, 'close': 2300}]","[{'open': 2000, 'close': 2400}]","[{'open': 1800, 'close': 2400}]","[{'open': 1700, 'close': 2400}]","[{'open': 1600, 'close': 115}, {'open': 1000, 'close': 2500}]","[{'open': 1100, 'close': 2400}, {'open': 100, 'close': 120}]",0,0,0,9,0,0,2,0,9,[],[],[],"[{'uuid': '575db3ab-5462-4018-b0a2-4a9f932f2f44', 'display_name': 'Liam', 'type': 'PERSON', 'number_of_recommendations': 4}, {'uuid': 'd18c5d74-6a89-4b0e-a1d3-92ee332ebc86', 'display_name': 'Phil', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '8d8f436a-6edc-4e3f-a851-29c6d840d887', 'display_name': 'Owen', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '9d4c63ab-2ccf-4e2b-aa2e-cf21fb3c76b4', 'display_name': 'Mark Peter', 'type': 'PERSON', 'number_of_recommendations': 2}, {'uuid': 'de6d9ef1-4id6-4fd2-9d7c-0bfedab1ec40', 'display_name': 'Luca', 'type': 'PERSON', 'number_of_recommendations': 1}]",[],[],"[{'uuid': '6b4ce2db-2569-4030-9ada-3d3a90ef1a21', 'display_name': 'George', 'type': 'PERSON', 'number_of_recommendations': 2}]",[],"[{'uuid': 'c94de3ad-2599-4077-9hda-2d3a90cd9a22', 'display_name': 'Chris', 'type': 'PERSON', 'number_of_recommendations': 5}, {'uuid': 'b6834e57-h3c2-498c-6080-570d64ddj442', 'display_name': 'Tony', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '25jc5cac-9h20-4344-i63a-4d5fc6j62d59', 'display_name': 'Simon', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '3c998c36-5h6b-4a18-56j5-b8230c14k6h7', 'display_name': 'Seb', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '5c8he562-k56c-4c7b-jb15-97105h18d2f7', 'display_name': 'Sam', 'type': 'PERSON', 'number_of_recommendations': 1}]"
64809,M.Svensson,2024-06-25T20:28:37.275894,IL Patio,"Piazza di Spagna, 65, Rome, IT, 00187",Rome,IT,pizzeria,41.9059894,12.4829321,0,0,5606,https://maps.google.com/?cid=6450378164540298822,90854632,137,"[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]","[{'open': 1200, 'close': 2400}]",0,0,0,2318,258,560,214,987,0,[],[],[],"[{'uuid': '783465bf-cb2e-4958-ab8d-dc576473f3e9', 'display_name': 'Fabio', 'type': 'PERSON', 'number_of_recommendations': 3}, {'uuid': 'cf8461e6-a9c6-4fbe-9dab-d52747a5de72', 'display_name': 'Anna', 'type': 'PERSON', 'number_of_recommendations': 5}, {'uuid': '6a9fd620-36a5-41fd-aea9-54348f44df61', 'display_name': 'Stefano', 'type': 'PERSON', 'number_of_recommendations': 1}, {'uuid': '8f75628d-3a94-4001-8895-346cc0501ca3', 'display_name': 'Luca', 'type': 'PERSON', 'number_of_recommendations': 2}]","[{'uuid': '68f6e081-50dc-4a30-bf5f-50214fa3262f', 'display_name': 'Andrea', 'type': 'PERSON', 'number_of_recommendations': 2}, {'uuid': 'e4d5d94a-2731-4af8-8465-dc681cae4142', 'display_name': 'Roberto', 'type': 'PERSON', 'number_of_recommendations': 5}]","[{'uuid': '8423c769-a8ce-480e-9c96-3bf64d613a3f', 'display_name': 'Nicola', 'type': 'PERSON', 'number_of_recommendations': 8}]","[{'uuid': '71c1349d-16e3-405f-b5cc-c83f1e8ad873', 'display_name': 'Elena', 'type': 'PERSON', 'number_of_recommendations': 7}, {'uuid': 'ff1e77a2-2516-4fdb-941d-2a0c8c87726d', 'display_name': 'Marco', 'type': 'PERSON', 'number_of_recommendations': 4}]","[{'uuid': '4ad7a1ef-63b9-40c6-8b0d-0a36b5a2ca2b', 'display_name': 'Lorenzo', 'type': 'PERSON', 'number_of_recommendations': 9}, {'uuid': 'ef97c6ef-142a-47fb-b766-0abea328295f', 'display_name': 'Gioia', 'type': 'PERSON', 'number_of_recommendations': 3}]",[]
4739210,Emma,2023-12-30T14:28:20.216730,Margo's,"Hauptstraße, 40, Berlin, DE, 10178.",Berlin,DE,"cafe, bistro",52.5200066,13.404954,0,0,35,https://maps.google.com/?cid=11035852738293392140,21575732,558,"[{'open': 800, 'close': 2000}]","[{'open': 800, 'close': 2000}]","[{'open': 800, 'close': 2000}]","[{'open': 800, 'close': 2200}]","[{'open': 800, 'close': 2200}]","[{'open': 0, 'close': 200}, {'open': 1000, 'close': 2200}]","[{'open': 1000, 'close': 2000}, {'open': 0, 'close': 200}]",0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[]
